orderid,Customer Name,shipmode,sales,quantity,discount,profit,segment,region,state,subcategory,category,orderdate_day,orderdate_weekday,orderdate_month,orderdate_year,shipdate_day,shipdate_month,shipdate_year,preparationtime
659,Clytie Kelty,Standard Class,127.554,3,0.3,-9.111,Consumer,East,Ohio,Chairs                                            ,Furniture,22,Sonntag,11,2015,27,11,2015,5
660,Clytie Kelty,Second Class,97.184,2,0.2,6.074,Corporate,West,California,Chairs                                            ,Furniture,16,Freitag,12,2016,21,12,2016,5
661,Clytie Kelty,Standard Class,60.74,1,0,15.185,Home Office,East,Massachusetts,Chairs                                            ,Furniture,1,Montag,9,2014,8,9,2014,7
662,Carlos Meador,Standard Class,340.144,7,0.2,21.259,Consumer,West,California,Chairs                                            ,Furniture,5,Montag,8,2013,9,8,2013,4
663,Carlos Meador,Standard Class,97.184,2,0.2,6.074,Consumer,South,Florida,Chairs                                            ,Furniture,4,Sonntag,9,2016,8,9,2016,4
664,Carlos Meador,Standard Class,255.108,6,0.3,-18.222,Home Office,Central,Texas,Chairs                                            ,Furniture,19,Donnerstag,11,2015,23,11,2015,4
665,Carlos Meador,Standard Class,327.996,6,0.1,54.666,Consumer,East,New York,Chairs                                            ,Furniture,1,Mittwoch,4,2015,7,4,2015,6
666,Alan Dominguez,Second Class,170.072,4,0.3,-12.148,Consumer,Central,Illinois,Chairs                                            ,Furniture,13,Samstag,9,2014,17,9,2014,4
667,Christina Anderson,Standard Class,182.22,3,0,45.555,Consumer,East,New Jersey,Chairs                                            ,Furniture,4,Sonntag,12,2016,10,12,2016,6
668,Rick Wilson,Same Day,546.66,9,0,136.665,Consumer,Central,Michigan,Chairs                                            ,Furniture,17,Mittwoch,12,2014,17,12,2014,0
669,Annie Cyprus,Standard Class,182.94,3,0,27.441,Corporate,Central,South Dakota,Chairs                                            ,Furniture,20,Mittwoch,7,2016,25,7,2016,5
670,Annie Cyprus,First Class,97.568,2,0.2,-6.098,Consumer,West,Washington,Chairs                                            ,Furniture,30,Sonntag,10,2016,2,11,2016,3
671,Annie Cyprus,Standard Class,390.272,8,0.2,-24.392,Corporate,South,Florida,Chairs                                            ,Furniture,29,Freitag,5,2015,4,6,2015,6
672,Annie Cyprus,Standard Class,195.136,4,0.2,-12.196,Consumer,West,California,Chairs                                            ,Furniture,15,Donnerstag,8,2013,19,8,2013,4
673,Adrian Hane,First Class,341.488,8,0.3,-73.176,Consumer,East,Pennsylvania,Chairs                                            ,Furniture,11,Freitag,7,2014,13,7,2014,2
674,Bradley Drucker,Standard Class,146.352,3,0.2,-9.147,Corporate,West,California,Chairs                                            ,Furniture,31,Donnerstag,10,2013,4,11,2013,4
675,Michelle Tran,Standard Class,97.568,2,0.2,-6.098,Corporate,West,California,Chairs                                            ,Furniture,14,Mittwoch,5,2014,19,5,2014,5
676,Roy Collins,Standard Class,195.136,4,0.2,-12.196,Consumer,West,Oregon,Chairs                                            ,Furniture,22,Sonntag,11,2015,27,11,2015,5
677,David Kendrick,Second Class,243.92,5,0.2,-15.245,Consumer,West,California,Chairs                                            ,Furniture,9,Freitag,9,2016,14,9,2016,5
678,Lynn Smith,Same Day,302.94,3,0,48.4704,Consumer,Central,Michigan,Chairs                                            ,Furniture,17,Mittwoch,12,2014,17,12,2014,0
679,Anthony O'Donnell,Standard Class,504.9,5,0,80.784,Consumer,South,Virginia,Chairs                                            ,Furniture,17,Samstag,12,2016,21,12,2016,4
680,Gary Zandusky,First Class,161.568,2,0.2,-8.0784,Consumer,West,California,Chairs                                            ,Furniture,21,Sonntag,6,2015,22,6,2015,1
681,Gary Zandusky,Standard Class,272.646,3,0.1,18.1764,Consumer,East,New York,Chairs                                            ,Furniture,20,Dienstag,9,2016,26,9,2016,6
682,Ben Wallace,Standard Class,113.568,2,0.2,-18.4548,Consumer,West,California,Chairs                                            ,Furniture,8,Donnerstag,12,2016,12,12,2016,4
683,Christy Brittain,Standard Class,283.92,5,0.2,-46.137,Consumer,West,California,Chairs                                            ,Furniture,20,Sonntag,11,2016,25,11,2016,5
684,Neil Knudson,First Class,454.272,8,0.2,-73.8192,Home Office,West,California,Chairs                                            ,Furniture,24,Freitag,10,2014,27,10,2014,3
685,Liz Willingham,Standard Class,70.98,1,0,4.9686,Consumer,South,Kentucky,Chairs                                            ,Furniture,3,Donnerstag,7,2014,9,7,2014,6
686,Liz Willingham,First Class,319.41,5,0.1,7.098,Consumer,East,New York,Chairs                                            ,Furniture,18,Donnerstag,6,2015,19,6,2015,1
687,Lindsay Williams,Standard Class,170.352,3,0.2,-17.0352,Consumer,West,California,Chairs                                            ,Furniture,6,Sonntag,7,2014,11,7,2014,5
688,Max Engle,Standard Class,170.352,3,0.2,-17.0352,Consumer,West,California,Chairs                                            ,Furniture,3,Donnerstag,3,2016,8,3,2016,5
689,Max Engle,First Class,340.704,6,0.2,-34.0704,Corporate,West,California,Chairs                                            ,Furniture,28,Mittwoch,12,2016,31,12,2016,3
690,Max Engle,Standard Class,127.764,2,0.1,2.8392,Corporate,East,New York,Chairs                                            ,Furniture,16,Mittwoch,4,2014,21,4,2014,5
691,Kean Thornton,Standard Class,212.94,3,0,25.5528,Corporate,East,New Jersey,Chairs                                            ,Furniture,27,Sonntag,12,2015,3,1,2016,7
692,Tony Sayre,Second Class,892.224,3,0.2,89.2224,Home Office,West,California,Chairs                                            ,Furniture,27,Samstag,2,2016,29,2,2016,2
693,Eugene Moren,Same Day,520.464,2,0.3,-14.8704,Consumer,Central,Illinois,Chairs                                            ,Furniture,11,Sonntag,12,2016,11,12,2016,0
694,Sally Hughsby,Standard Class,1487.04,5,0.2,148.704,Home Office,West,California,Chairs                                            ,Furniture,25,Donnerstag,4,2013,30,4,2013,5
695,Ralph Kennedy,Standard Class,892.224,3,0.2,89.2224,Corporate,West,California,Chairs                                            ,Furniture,5,Samstag,4,2014,11,4,2014,6
696,Luke Foster,Standard Class,2676.672,9,0.2,267.6672,Home Office,West,California,Chairs                                            ,Furniture,1,Montag,12,2014,6,12,2014,5
697,Neil French,First Class,520.464,2,0.3,-14.8704,Consumer,Central,Illinois,Chairs                                            ,Furniture,24,Samstag,9,2016,26,9,2016,2
698,Neil French,Standard Class,1487.04,5,0.2,148.704,Consumer,West,Oregon,Chairs                                            ,Furniture,10,Dienstag,9,2013,16,9,2013,6
699,Michael Stewart,Standard Class,594.816,2,0.2,59.4816,Consumer,West,California,Chairs                                            ,Furniture,23,Freitag,9,2016,29,9,2016,6
700,Michael Stewart,Standard Class,179.886,1,0.3,-2.5698,Corporate,Central,Texas,Chairs                                            ,Furniture,10,Mittwoch,9,2014,14,9,2014,4
701,Michael Stewart,First Class,462.564,2,0.1,97.6524,Corporate,East,New York,Chairs                                            ,Furniture,17,Mittwoch,8,2016,19,8,2016,2
702,Giulietta Dortch,First Class,1079.316,6,0.3,-15.4188,Consumer,East,Pennsylvania,Chairs                                            ,Furniture,30,Mittwoch,11,2016,3,12,2016,3
703,Giulietta Dortch,Standard Class,539.658,3,0.3,-7.7094,Corporate,Central,Illinois,Chairs                                            ,Furniture,28,Sonntag,6,2015,2,7,2015,4
704,Bobby Odegard,First Class,899.43,5,0.3,-12.849,Consumer,Central,Texas,Chairs                                            ,Furniture,14,Samstag,5,2016,15,5,2016,1
705,Xylona Price,First Class,899.43,5,0.3,-12.849,Home Office,East,Ohio,Chairs                                            ,Furniture,18,Donnerstag,2,2016,21,2,2016,3
706,Corinna Mitchell,Standard Class,359.772,2,0.3,-5.1396,Consumer,Central,Illinois,Chairs                                            ,Furniture,26,Sonntag,5,2013,31,5,2013,5
707,Corinna Mitchell,Standard Class,915.136,4,0.2,102.9528,Home Office,West,California,Chairs                                            ,Furniture,4,Sonntag,10,2015,8,10,2015,4
708,Paul Lucas,Standard Class,2573.82,9,0,746.4078,Home Office,South,Kentucky,Chairs                                            ,Furniture,6,Sonntag,1,2013,10,1,2013,4
709,Paul Lucas,Second Class,600.558,3,0.3,-8.5794,Home Office,Central,Texas,Chairs                                            ,Furniture,26,Donnerstag,12,2013,28,12,2013,2
710,Rob Dowd,Second Class,457.568,2,0.2,51.4764,Consumer,West,Washington,Chairs                                            ,Furniture,1,Freitag,3,2013,6,3,2013,5
711,Art Miller,Standard Class,600.558,3,0.3,-8.5794,Consumer,Central,Illinois,Chairs                                            ,Furniture,17,Mittwoch,2,2016,22,2,2016,5
712,Randy Bradley,Standard Class,600.558,3,0.3,-8.5794,Consumer,Central,Texas,Chairs                                            ,Furniture,27,Sonntag,3,2016,1,4,2016,5
713,Sean Wendt,Second Class,2001.86,7,0,580.5394,Home Office,Central,Minnesota,Chairs                                            ,Furniture,1,Samstag,6,2013,6,6,2013,5
714,John Castell,Second Class,915.136,4,0.2,102.9528,Home Office,West,California,Chairs                                            ,Furniture,13,Donnerstag,3,2014,18,3,2014,5
715,John Castell,Same Day,933.536,4,0.2,105.0228,Consumer,West,Arizona,Chairs                                            ,Furniture,15,Mittwoch,4,2015,15,4,2015,0
716,Mark Haberlin,Standard Class,1458.65,5,0,423.0085,Corporate,Central,Michigan,Chairs                                            ,Furniture,7,Samstag,5,2016,11,5,2016,4
717,Lauren Leatherbury,Standard Class,408.422,2,0.3,-5.8346,Consumer,Central,Texas,Chairs                                            ,Furniture,26,Samstag,4,2014,30,4,2014,4
718,Ralph Kennedy,Standard Class,408.422,2,0.3,-5.8346,Consumer,Central,Illinois,Chairs                                            ,Furniture,2,Mittwoch,7,2014,6,7,2014,4
719,Helen Abelman,Second Class,1166.92,5,0.2,131.2785,Home Office,South,Florida,Chairs                                            ,Furniture,29,Samstag,3,2014,31,3,2014,2
720,Pete Takahito,Second Class,466.768,2,0.2,52.5114,Corporate,West,Colorado,Chairs                                            ,Furniture,13,Sonntag,9,2015,15,9,2015,2
721,Bradley Drucker,Same Day,700.152,3,0.2,78.7671,Corporate,West,California,Chairs                                            ,Furniture,16,Mittwoch,7,2014,16,7,2014,0
722,Evan Henry,Standard Class,2888.127,11,0.1,609.7157,Consumer,East,New York,Chairs                                            ,Furniture,20,Dienstag,9,2016,26,9,2016,6
723,Evan Henry,Standard Class,242.352,3,0.2,15.147,Consumer,South,North Carolina,Chairs                                            ,Furniture,16,Samstag,7,2016,23,7,2016,7
724,Evan Henry,Standard Class,90.882,1,0.1,15.147,Corporate,East,New York,Chairs                                            ,Furniture,3,Montag,2,2014,7,2,2014,4
725,Lycoris Saunders,First Class,403.92,5,0.2,25.245,Home Office,West,Oregon,Chairs                                            ,Furniture,12,Samstag,12,2015,14,12,2015,2
726,Lycoris Saunders,Same Day,323.136,4,0.2,20.196,Consumer,West,California,Chairs                                            ,Furniture,31,Freitag,10,2014,31,10,2014,0
727,Robert Dilbeck,Standard Class,201.96,2,0,50.49,Corporate,Central,Wisconsin,Chairs                                            ,Furniture,26,Samstag,9,2015,1,10,2015,5
728,Tonja Turnell,Standard Class,161.568,2,0.2,10.098,Consumer,West,Arizona,Chairs                                            ,Furniture,18,Montag,7,2016,23,7,2016,5
729,Tamara Dahlen,Standard Class,605.88,6,0,151.47,Home Office,East,Rhode Island,Chairs                                            ,Furniture,31,Dienstag,12,2013,7,1,2014,7
730,William Brown,Standard Class,212.058,3,0.3,-15.147,Home Office,Central,Texas,Chairs                                            ,Furniture,27,Samstag,12,2014,31,12,2014,4
731,Irene Maddox,First Class,908.82,9,0,227.205,Consumer,East,Maryland,Chairs                                            ,Furniture,21,Donnerstag,4,2016,23,4,2016,2
732,Irene Maddox,Second Class,1242.9,5,0.1,262.39,Home Office,East,New York,Chairs                                            ,Furniture,30,Mittwoch,11,2016,2,12,2016,2
733,Gary Zandusky,Standard Class,1325.76,6,0.2,149.148,Consumer,West,California,Chairs                                            ,Furniture,21,Samstag,12,2013,27,12,2013,6
734,Annie Cyprus,Standard Class,1740.06,9,0.3,-24.858,Consumer,Central,Texas,Chairs                                            ,Furniture,8,Sonntag,9,2013,12,9,2013,4
735,Clay Rozendal,Standard Class,1325.76,6,0.2,149.148,Home Office,West,Colorado,Chairs                                            ,Furniture,25,Samstag,4,2015,29,4,2015,4
736,Christopher Martinez,Standard Class,220.96,1,0.2,24.858,Consumer,West,Washington,Chairs                                            ,Furniture,15,Sonntag,5,2016,20,5,2016,5
737,Christopher Martinez,Standard Class,662.88,3,0.2,74.574,Consumer,South,Tennessee,Chairs                                            ,Furniture,20,Freitag,12,2013,25,12,2013,5
738,Christopher Martinez,Standard Class,883.84,4,0.2,99.432,Corporate,West,Arizona,Chairs                                            ,Furniture,24,Mittwoch,12,2014,28,12,2014,4
739,Matt Collins,Standard Class,662.88,3,0.2,74.574,Consumer,West,Colorado,Chairs                                            ,Furniture,9,Donnerstag,7,2015,13,7,2015,4
740,Matt Collins,Standard Class,966.7,5,0.3,-13.81,Consumer,Central,Texas,Chairs                                            ,Furniture,8,Sonntag,9,2013,15,9,2013,7
741,Khloe Miller,Standard Class,883.84,4,0.2,99.432,Consumer,West,New Mexico,Chairs                                            ,Furniture,14,Freitag,11,2014,19,11,2014,5
742,Khloe Miller,Second Class,386.68,2,0.3,-5.524,Corporate,East,Pennsylvania,Chairs                                            ,Furniture,14,Samstag,3,2015,16,3,2015,2
743,Khloe Miller,Second Class,441.92,2,0.2,49.716,Consumer,West,Arizona,Chairs                                            ,Furniture,14,Montag,7,2014,19,7,2014,5
744,Kelly Williams,Standard Class,828.6,3,0,240.294,Home Office,Central,Indiana,Chairs                                            ,Furniture,26,Samstag,11,2016,1,12,2016,5
745,Kelly Williams,First Class,614.272,8,0.2,-23.0352,Consumer,West,Washington,Chairs                                            ,Furniture,30,Sonntag,10,2016,2,11,2016,3
746,Kelly Williams,First Class,470.302,7,0.3,-87.3418,Home Office,Central,Illinois,Chairs                                            ,Furniture,13,Montag,6,2016,16,6,2016,3
747,Carl Weiss,Standard Class,172.764,2,0.1,13.4372,Home Office,East,New York,Chairs                                            ,Furniture,8,Sonntag,9,2013,13,9,2013,5
748,Carl Weiss,Second Class,153.568,2,0.2,-5.7588,Consumer,West,California,Chairs                                            ,Furniture,21,Mittwoch,1,2015,23,1,2015,2
749,Christine Abelman,Standard Class,307.136,4,0.2,-11.5176,Corporate,West,Washington,Chairs                                            ,Furniture,25,Donnerstag,9,2014,30,9,2014,5
750,Edward Nazzal,Standard Class,191.96,2,0,32.6332,Corporate,Central,Michigan,Chairs                                            ,Furniture,10,Mittwoch,12,2014,16,12,2014,6
751,Edward Nazzal,Standard Class,479.9,5,0,81.583,Home Office,Central,Minnesota,Chairs                                            ,Furniture,17,Sonntag,11,2013,21,11,2013,4
752,Michelle Tran,Second Class,85.246,2,0.3,-1.2178,Consumer,Central,Texas,Chairs                                            ,Furniture,2,Mittwoch,12,2015,4,12,2015,2
753,Bobby Elias,Second Class,182.67,3,0,52.9743,Corporate,South,Georgia,Chairs                                            ,Furniture,29,Sonntag,11,2015,2,12,2015,3
754,Bobby Elias,Standard Class,767.214,14,0.1,161.9674,Home Office,East,New York,Chairs                                            ,Furniture,27,Freitag,12,2013,31,12,2013,4
755,Don Jones,Standard Class,85.246,2,0.3,-1.2178,Consumer,East,Ohio,Chairs                                            ,Furniture,6,Sonntag,9,2015,12,9,2015,6
756,Michelle Tran,Standard Class,146.136,3,0.2,16.4403,Corporate,South,Florida,Chairs                                            ,Furniture,12,Mittwoch,11,2014,19,11,2014,7
757,Brendan Sweed,First Class,48.712,1,0.2,5.4801,Consumer,West,Washington,Chairs                                            ,Furniture,7,Donnerstag,3,2013,8,3,2013,1
758,Brendan Sweed,Second Class,383.607,9,0.3,-5.4801,Consumer,Central,Illinois,Chairs                                            ,Furniture,12,Samstag,7,2014,17,7,2014,5
759,Frank Carlisle,First Class,97.424,2,0.2,10.9602,Corporate,South,Tennessee,Chairs                                            ,Furniture,5,Freitag,12,2014,8,12,2014,3
760,Michael Dominguez,Standard Class,389.696,8,0.2,43.8408,Consumer,South,Tennessee,Chairs                                            ,Furniture,28,Freitag,2,2014,4,3,2014,4
761,Michael Dominguez,Standard Class,481.568,2,0.2,54.1764,Corporate,West,Washington,Chairs                                            ,Furniture,7,Donnerstag,3,2013,12,3,2013,5
762,Guy Armstrong,Second Class,300.98,1,0,87.2842,Consumer,South,Kentucky,Chairs                                            ,Furniture,29,Donnerstag,12,2016,1,1,2017,3
763,Karl Brown,Second Class,963.136,4,0.2,108.3528,Corporate,West,Washington,Chairs                                            ,Furniture,12,Freitag,2,2016,14,2,2016,2
764,Karl Brown,Second Class,421.372,2,0.3,-6.0196,Consumer,Central,Illinois,Chairs                                            ,Furniture,20,Dienstag,8,2013,25,8,2013,5
765,Karl Brown,Standard Class,1805.88,6,0,523.7052,Consumer,Central,Oklahoma,Chairs                                            ,Furniture,21,Montag,3,2016,27,3,2016,6
766,Shahid Hopkins,Standard Class,1474.802,7,0.3,-21.0686,Consumer,East,Ohio,Chairs                                            ,Furniture,13,Freitag,11,2015,17,11,2015,4
767,Anna Andreadi,Standard Class,722.352,3,0.2,81.2646,Corporate,West,California,Chairs                                            ,Furniture,14,Mittwoch,5,2014,19,5,2014,5
768,Anna Andreadi,Second Class,240.784,1,0.2,27.0882,Consumer,West,California,Chairs                                            ,Furniture,23,Donnerstag,10,2014,27,10,2014,4
769,Beth Thompson,Standard Class,239.96,10,0.3,-10.284,Corporate,East,Pennsylvania,Chairs                                            ,Furniture,4,Sonntag,12,2016,9,12,2016,5
770,Ashley Jarboe,Standard Class,47.992,2,0.3,-2.0568,Consumer,East,Ohio,Chairs                                            ,Furniture,8,Sonntag,5,2016,12,5,2016,4
771,Ashley Jarboe,Second Class,191.968,7,0.2,16.7972,Home Office,West,Arizona,Chairs                                            ,Furniture,11,Sonntag,5,2014,16,5,2014,5
772,Denise Leinenbach,Standard Class,95.984,4,0.3,-4.1136,Consumer,Central,Texas,Chairs                                            ,Furniture,9,Donnerstag,4,2015,13,4,2015,4
773,Art Ferguson,Second Class,191.968,7,0.2,16.7972,Consumer,West,California,Chairs                                            ,Furniture,23,Donnerstag,10,2014,27,10,2014,4
774,Art Ferguson,Standard Class,47.992,2,0.3,-2.0568,Corporate,Central,Illinois,Chairs                                            ,Furniture,12,Donnerstag,11,2015,18,11,2015,6
775,Julia Dunbar,Second Class,403.56,4,0,96.8544,Corporate,Central,Wisconsin,Chairs                                            ,Furniture,26,Sonntag,7,2015,29,7,2015,3
776,Julia Dunbar,Standard Class,242.136,3,0.2,12.1068,Consumer,West,California,Chairs                                            ,Furniture,22,Donnerstag,10,2015,28,10,2015,6
777,Julia Dunbar,Second Class,90.801,1,0.1,14.1246,Home Office,East,New York,Chairs                                            ,Furniture,3,Samstag,9,2016,6,9,2016,3
778,Fred Chung,Second Class,302.67,3,0,72.6408,Consumer,Central,Michigan,Chairs                                            ,Furniture,17,Sonntag,1,2016,19,1,2016,2
779,Fred Chung,Standard Class,605.34,6,0,145.2816,Corporate,South,Arkansas,Chairs                                            ,Furniture,18,Freitag,10,2013,22,10,2013,4
780,Fred Chung,Standard Class,302.67,3,0,72.6408,Consumer,Central,Oklahoma,Chairs                                            ,Furniture,29,Freitag,7,2016,3,8,2016,5
781,Randy Ferguson,Standard Class,872.32,4,0,244.2496,Consumer,East,Massachusetts,Chairs                                            ,Furniture,7,Dienstag,5,2013,12,5,2013,5
782,Frank Price,Standard Class,1526.56,7,0,427.4368,Corporate,Central,Wisconsin,Chairs                                            ,Furniture,25,Freitag,3,2016,31,3,2016,6
783,Anna Gayman,First Class,872.32,4,0,244.2496,Home Office,East,Rhode Island,Chairs                                            ,Furniture,20,Sonntag,9,2015,22,9,2015,2
784,Rick Hansen,First Class,763.28,5,0.3,-21.808,Consumer,Central,Texas,Chairs                                            ,Furniture,15,Sonntag,12,2013,18,12,2013,3
785,Gary Hansen,Standard Class,305.312,2,0.3,-8.7232,Corporate,Central,Texas,Chairs                                            ,Furniture,19,Samstag,11,2016,25,11,2016,6
786,Michelle Lonsdale,Standard Class,348.928,2,0.2,34.8928,Consumer,West,California,Chairs                                            ,Furniture,12,Freitag,12,2014,16,12,2014,4
787,Nick Radford,Standard Class,523.392,3,0.2,52.3392,Corporate,West,California,Chairs                                            ,Furniture,9,Mittwoch,11,2016,13,11,2016,4
788,Nick Radford,Standard Class,113.372,2,0.3,-3.2392,Corporate,Central,Illinois,Chairs                                            ,Furniture,28,Mittwoch,12,2016,1,1,2017,4
789,Dennis Kane,Standard Class,194.352,3,0.2,19.4352,Consumer,West,California,Chairs                                            ,Furniture,26,Donnerstag,11,2015,30,11,2015,4
790,Raymond Fair,Standard Class,170.058,3,0.3,-4.8588,Consumer,East,Pennsylvania,Chairs                                            ,Furniture,22,Samstag,6,2013,27,6,2013,5
791,Theresa Swint,Second Class,388.704,6,0.2,38.8704,Corporate,West,Washington,Chairs                                            ,Furniture,21,Sonntag,8,2016,25,8,2016,4
792,Theresa Swint,Standard Class,161.96,2,0,45.3488,Home Office,Central,Oklahoma,Chairs                                            ,Furniture,7,Samstag,9,2013,13,9,2013,6
793,Theresa Swint,Standard Class,340.116,6,0.3,-9.7176,Home Office,Central,Texas,Chairs                                            ,Furniture,13,Freitag,9,2013,17,9,2013,4
794,Max Jones,Second Class,64.784,1,0.2,6.4784,Consumer,South,Florida,Chairs                                            ,Furniture,23,Montag,12,2013,27,12,2013,4
795,Kristina Nunn,Second Class,396.802,7,0.3,-11.3372,Consumer,East,Ohio,Chairs                                            ,Furniture,21,Freitag,11,2014,23,11,2014,2
796,Kristina Nunn,Second Class,104.93,5,0.3,-4.497,Consumer,Central,Texas,Chairs                                            ,Furniture,26,Montag,5,2014,28,5,2014,2
797,Sean Miller,Standard Class,62.958,3,0.3,-2.6982,Corporate,Central,Illinois,Chairs                                            ,Furniture,16,Montag,2,2015,20,2,2015,4
798,Sean Miller,Same Day,149.9,5,0,40.473,Consumer,South,Virginia,Chairs                                            ,Furniture,5,Dienstag,11,2013,5,11,2013,0
799,Grant Thornton,Same Day,167.888,7,0.2,14.6902,Consumer,West,Washington,Chairs                                            ,Furniture,23,Montag,3,2015,23,3,2015,0
800,Joni Blumstein,Standard Class,47.968,2,0.2,4.1972,Corporate,West,Arizona,Chairs                                            ,Furniture,26,Samstag,12,2015,2,1,2016,7
801,Art Foster,Standard Class,239.84,8,0,64.7568,Corporate,East,Maryland,Chairs                                            ,Furniture,2,Montag,12,2013,7,12,2013,5
802,Nancy Lomonaco,Standard Class,29.98,1,0,8.0946,Consumer,Central,Indiana,Chairs                                            ,Furniture,4,Freitag,12,2015,8,12,2015,4
803,Daniel Lacy,Standard Class,301.96,2,0,87.5684,Corporate,Central,Michigan,Chairs                                            ,Furniture,29,Samstag,11,2014,3,12,2014,4
804,Jonathan Doherty,Standard Class,150.98,1,0,43.7842,Home Office,East,Maryland,Chairs                                            ,Furniture,16,Mittwoch,7,2014,20,7,2014,4
805,Jessica Myrick,First Class,120.784,1,0.2,13.5882,Corporate,West,Colorado,Chairs                                            ,Furniture,11,Sonntag,10,2015,13,10,2015,2
806,Jessica Myrick,Standard Class,845.488,8,0.3,-12.0784,Corporate,Central,Illinois,Chairs                                            ,Furniture,28,Montag,12,2015,1,1,2016,4
807,Jack O'Briant,First Class,483.136,4,0.2,54.3528,Consumer,West,Colorado,Chairs                                            ,Furniture,18,Donnerstag,6,2015,20,6,2015,2
808,Christina DeMoss,Standard Class,1056.86,7,0,306.4894,Consumer,South,Alabama,Chairs                                            ,Furniture,15,Montag,9,2014,19,9,2014,4
809,Shirley Jackson,Standard Class,161.568,2,0.2,-28.2744,Consumer,South,Tennessee,Chairs                                            ,Furniture,28,Freitag,2,2014,4,3,2014,4
810,Christopher Martinez,Standard Class,484.704,6,0.2,-84.8232,Consumer,West,California,Chairs                                            ,Furniture,27,Mittwoch,5,2015,1,6,2015,5
811,Sibella Parks,Same Day,70.686,1,0.3,-24.2352,Consumer,East,Ohio,Chairs                                            ,Furniture,6,Samstag,12,2014,6,12,2014,0
812,Sibella Parks,Standard Class,302.94,3,0,18.1764,Consumer,East,New Jersey,Chairs                                            ,Furniture,4,Sonntag,12,2016,10,12,2016,6
813,Annie Thurman,Second Class,181.764,2,0.1,-8.0784,Home Office,East,New York,Chairs                                            ,Furniture,3,Samstag,9,2016,6,9,2016,3
814,Guy Thornton,First Class,242.352,3,0.2,-42.4116,Consumer,West,Arizona,Chairs                                            ,Furniture,20,Freitag,12,2013,22,12,2013,2
815,David Philippe,Standard Class,141.372,2,0.3,-48.4704,Corporate,East,Pennsylvania,Chairs                                            ,Furniture,9,Freitag,9,2016,13,9,2016,4
816,Art Foster,Standard Class,161.568,2,0.2,-28.2744,Consumer,West,California,Chairs                                            ,Furniture,7,Mittwoch,9,2016,12,9,2016,5
817,Ann Chong,Standard Class,199.304,4,0.3,-8.5416,Consumer,Central,Texas,Chairs                                            ,Furniture,19,Sonntag,1,2014,23,1,2014,4
818,Ann Chong,Second Class,113.888,2,0.2,9.9652,Consumer,West,California,Chairs                                            ,Furniture,6,Freitag,11,2015,8,11,2015,2
819,Nat Gilpin,Standard Class,113.888,2,0.2,9.9652,Home Office,West,Washington,Chairs                                            ,Furniture,18,Freitag,9,2015,22,9,2015,4
820,Maurice Satty,Same Day,113.888,2,0.2,9.9652,Home Office,West,Arizona,Chairs                                            ,Furniture,12,Samstag,11,2016,12,11,2016,0
821,Joy Bell,Second Class,192.186,3,0.1,36.3018,Corporate,East,New York,Chairs                                            ,Furniture,20,Freitag,12,2013,23,12,2013,3
822,Joy Bell,Same Day,498.26,7,0,134.5302,Consumer,Central,Michigan,Chairs                                            ,Furniture,1,Donnerstag,9,2016,1,9,2016,0
823,Ken Heidel,Second Class,128.124,2,0.1,24.2012,Consumer,East,New York,Chairs                                            ,Furniture,5,Samstag,11,2016,10,11,2016,5
824,Ionia McGrath,Same Day,142.36,2,0,38.4372,Consumer,Central,Michigan,Chairs                                            ,Furniture,17,Mittwoch,12,2014,17,12,2014,0
825,Ionia McGrath,Standard Class,230.28,3,0.2,23.028,Corporate,West,California,Chairs                                            ,Furniture,26,Freitag,4,2013,3,5,2013,7
826,Ionia McGrath,Standard Class,470.155,7,0.3,-13.433,Home Office,East,Pennsylvania,Chairs                                            ,Furniture,4,Mittwoch,11,2015,8,11,2015,4
827,Giulietta Dortch,Standard Class,383.8,5,0.2,38.38,Consumer,West,California,Chairs                                            ,Furniture,15,Mittwoch,4,2015,19,4,2015,4
828,Giulietta Dortch,Second Class,230.28,3,0.2,23.028,Corporate,West,California,Chairs                                            ,Furniture,27,Samstag,8,2016,29,8,2016,2
829,Eric Barreto,Standard Class,230.28,3,0.2,23.028,Corporate,West,Oregon,Chairs                                            ,Furniture,16,Donnerstag,7,2015,21,7,2015,5
830,Eric Barreto,Standard Class,230.28,3,0.2,23.028,Consumer,West,California,Chairs                                            ,Furniture,27,Freitag,12,2013,2,1,2014,6
831,Eric Barreto,Standard Class,434.646,3,0.1,62.7822,Home Office,East,New York,Chairs                                            ,Furniture,27,Montag,4,2015,2,5,2015,5
832,Filia McAdams,First Class,563.43,5,0.3,-56.343,Corporate,Central,Texas,Chairs                                            ,Furniture,4,Mittwoch,3,2015,7,3,2015,3
833,Filia McAdams,Standard Class,1159.056,9,0.2,43.4646,Corporate,West,California,Chairs                                            ,Furniture,2,Freitag,12,2016,6,12,2016,4
834,Filia McAdams,Standard Class,579.528,4,0.1,83.7096,Consumer,East,New York,Chairs                                            ,Furniture,22,Sonntag,9,2013,29,9,2013,7
835,Sanjit Chand,First Class,1448.82,10,0.1,209.274,Corporate,East,New York,Chairs                                            ,Furniture,3,Montag,11,2014,5,11,2014,2
836,Ellis Ballard,Standard Class,1522.638,9,0.1,169.182,Corporate,East,New York,Chairs                                            ,Furniture,5,Donnerstag,6,2014,10,6,2014,5
